"title","times_rented","total_amount"
"Lola Agent","23","154.77"
"Velvet Terminator","23","152.77"
"Stagecoach Armageddon","23","138.77"
"Pity Bound","23","138.77"
"Roses Treasure","23","137.77"
"Streetcar Intentions","23","137.77"
"Trading Pinocchio","23","133.77"
"Aladdin Calendar","23","131.77"
"Movie Shakespeare","23","125.78"
"Coma Head","23","122.77"
"Strictly Scarface","23","113.77"
"Arachnophobia Rollercoaster","23","109.77"
"Horn Working","23","109.77"
"Clueless Bucket","23","105.77"
"Hanky October","23","104.77"
"Brotherhood Blanket","23","98.77"
"Jason Trap","23","97.77"
"Hyde Doctor","23","95.76"
"Fatal Haunted","23","92.77"
"Hurricane Affair","23","82.77"
"Wardrobe Phantom","23","80.77"
"Blackout Private","23","78.77"
"Disturbing Scarface","23","77.77"
"Clash Freddy","23","77.77"
"Island Exorcist","23","76.77"
"Malkovich Pet","23","75.77"
"Escape Metropolis","23","74.77"
"Madness Attacks","23","65.77"
"Swarm Gold","23","64.77"
"Dynamite Tarzan","23","60.77"
"Sun Confessions","23","50.77"
"Alaska Phantom","23","37.77"
"Caper Motions","23","37.77"
"Shootist Superfly","23","36.77"
"Earth Vision","23","34.77"
"Carrie Bunch","23","34.77"
"Shepherd Midsummer","23","28.77"
"Hustler Party","22","190.78"
"Sunrise League","22","155.78"
"Maiden Home","22","152.78"
"Titanic Boondock","22","149.78"
"Show Lord","22","145.78"
"Working Microcosmos","22","144.78"
"Dorado Notting","22","140.78"
"Steel Santa","22","136.78"
"Flamingos Connecticut","22","134.78"
"Attraction Newton","22","133.78"
"Drifter Commandments","22","131.78"
"Name Detective","22","131.78"
"Heavyweights Beast","22","123.78"
"Sleeping Suspects","22","121.78"
"Cupboard Sinners","22","103.78"
"Gangs Pride","22","95.78"
"Fish Opus","22","94.78"
"Balloon Homeward","22","91.78"
"Ice Crossing","22","90.78"
"Oz Liaisons","22","87.78"
"Color Philadelphia","22","87.78"
"Barbarella Streetcar","22","84.78"
"Strangelove Desire","22","79.78"
"Half Outfield","22","73.79"
"Mallrats United","22","70.78"
"Orange Grapes","22","61.78"
"Grapes Fury","22","56.77"
"Mockingbird Hollywood","22","53.78"
"Slums Duck","22","48.78"
"Alamo Videotape","22","30.78"
"Fool Mockingbird","21","162.79"
"Scorpion Apollo","21","158.79"
"Nightmare Chill","21","148.79"
"Wonderland Christmas","21","142.79"
"Head Stranger","21","142.79"
"Queen Luke","21","128.79"
"Sabrina Midnight","21","126.79"
"Kiss Glory","21","126.79"
"Liaisons Sweet","21","126.79"
"Beauty Grease","21","125.79"
"Yentl Idaho","21","122.79"
"Center Dinosaur","21","121.79"
"Maltese Hope","21","118.79"
"High Encino","21","117.79"
"Freddy Storm","21","115.79"
"Beverly Outlaw","21","115.79"
"Philadelphia Wife","21","107.80"
"Arizona Bang","21","104.79"
"South Wait","21","102.79"
"Knock Warlock","21","99.79"
"Fargo Gandhi","21","94.79"
"Patton Interview","21","94.79"
"Metal Armageddon","21","88.79"
"Affair Prejudice","21","83.79"
"Murder Antitrust","21","78.79"
"Badman Dawn","21","76.79"
"Atlantis Cause","21","75.79"
"Downhill Enough","21","72.79"
"Wedding Apollo","21","71.79"
"Amistad Midsummer","21","70.79"
"Jumping Wrath","21","67.79"
"Goldfinger Sensibility","21","67.79"
"Snowman Rollercoaster","21","65.79"
"Hills Neighbors","21","58.79"
"Double Wrath","21","56.79"
"Gunfight Moon","21","46.79"
"Effect Gladiator","21","40.79"
"Splendor Patton","21","40.79"
"Crooked Frogmen","21","38.79"
"Pianist Outfield","21","38.78"
"Fantasy Troopers","21","35.79"
"Academy Dinosaur","21","33.79"
"Wind Phantom","21","33.79"
"Gun Bonnie","21","30.79"
"Chill Luck","21","29.79"
"Celebrity Horn","21","28.79"
"Roman Punk","21","25.79"
"Wolves Desire","21","24.79"
"Sting Personal","20","149.80"
"Whisperer Giant","20","141.80"
"Heartbreakers Bright","20","132.80"
"Easy Gladiator","20","132.80"
"Moonshine Cabin","20","131.80"
"Snatch Slipper","20","117.80"
"Redemption Comforts","20","113.80"
"Money Harold","20","111.80"
"Candles Grapes","20","111.80"
"Wash Heavenly","20","104.80"
"Truman Crazy","20","104.80"
"Angels Life","20","103.80"
"Salute Apollo","20","95.80"
"Basic Easy","20","87.80"
"Alien Center","20","84.80"
"Star Operation","20","83.80"
"Harper Dying","20","77.80"
"Quest Mussolini","20","77.80"
"Shakespeare Saddle","20","76.80"
"Crossroads Casualties","20","74.80"
"Dream Pickup","20","73.80"
"Trouble Date","20","70.81"
"Others Soup","20","70.80"
"Gentlemen Stage","20","70.80"
"House Dynamite","20","65.80"
"Wrong Behavior","20","62.80"
"Excitement Eve","20","61.80"
"Divide Monster","20","61.80"
"Packer Madigan","20","58.80"
"Fight Jawbreaker","20","53.80"
"Karate Moon","20","51.80"
"Haunting Pianist","20","47.80"
"Kwai Homeward","20","42.80"
"Armageddon Lost","20","41.80"
"Banger Pinocchio","20","40.80"
"Women Dorado","20","38.81"
"Amadeus Holy","20","32.80"
"Feud Frogmen","20","31.80"
"Alter Victory","20","30.80"
"Blade Polish","20","29.81"
"Grease Youth","20","27.80"
"Borrowers Bedazzled","20","25.80"
"Deceiver Betrayed","20","24.80"
"American Circus","19","146.81"
"Minds Truman","19","144.81"
"Eagles Panky","19","134.81"
"Suit Walls","19","134.81"
"Tourist Pelican","19","126.81"
"Seattle Expecations","19","125.80"
"Rage Games","19","119.81"
"Desert Poseidon","19","118.81"
"Cause Date","19","114.81"
"Agent Truman","19","111.81"
"Prejudice Oleander","19","110.81"
"Shawshank Bubble","19","109.81"
"Ghost Groundhog","19","107.81"
"Brooklyn Desert","19","106.81"
"Spice Sorority","19","106.81"
"Chasing Fight","19","105.82"
"Secret Groundhog","19","105.81"
"Driving Polish","19","105.81"
"Reign Gentlemen","19","105.81"
"Jerk Paycheck","19","104.81"
"Open African","19","103.81"
"Undefeated Dalmations","19","102.81"
"Stepmom Dream","19","99.81"
"Egg Igby","19","98.81"
"Bear Graceland","19","93.81"
"Hellfighters Sierra","19","92.81"
"Vacation Boondock","19","89.81"
"Sea Virgin","19","84.81"
"Flying Hook","19","77.81"
"Unbreakable Karate","19","76.81"
"Flatliners Killer","19","74.81"
"Fantasia Park","19","73.81"
"Berets Agent","19","72.80"
"Bringing Hysterical","19","68.81"
"Dinosaur Secretary","19","67.81"
"Chariots Conspiracy","19","65.81"
"Sinners Atlantis","19","60.81"
"Chicken Hellfighters","19","58.81"
"Fiction Christmas","19","58.81"
"Fireball Philadelphia","19","57.81"
"River Outlaw","19","56.82"
"Straight Hours","19","55.81"
"Annie Identity","19","50.81"
"Chocolat Harry","19","49.81"
"Sleuth Orient","19","48.81"
"Pacific Amistad","19","43.81"
"Mourning Purple","19","39.81"
"Intrigue Worst","19","36.81"
"Volcano Texas","19","32.81"
"Chainsaw Uptown","19","31.81"
"Congeniality Quest","19","31.81"
"Highball Potter","19","27.81"
"Canyon Stock","19","27.81"
"Encino Elf","19","27.81"
"Empire Malkovich","19","26.81"
"Christmas Moonshine","19","26.81"
"Resurrection Silverado","19","24.81"
"Masked Bubble","19","24.81"
"Dracula Crystal","19","22.81"
"Secrets Paradise","18","139.82"
"Garden Island","18","134.82"
"Midsummer Groundhog","18","129.82"
"Details Packer","18","128.82"
"Calendar Gunfight","18","123.82"
"Something Duck","18","120.82"
"Pinocchio Simon","18","119.82"
"Doors President","18","118.82"
"Fidelity Devil","18","117.82"
"Secretary Rouge","18","112.82"
"Interview Liaisons","18","110.82"
"Falcon Volume","18","106.81"
"Requiem Tycoon","18","105.82"
"Inch Jet","18","95.82"
"Peak Forever","18","94.82"
"Paradise Sabrina","18","79.82"
"Northwest Polish","18","77.82"
"Sleepy Japanese","18","76.83"
"Blues Instinct","18","75.82"
"Wait Cider","18","73.82"
"Wonka Sea","18","66.82"
"Bill Others","18","63.82"
"Lebowski Soldiers","18","62.82"
"Pond Seattle","18","61.82"
"Homicide Peach","18","59.82"
"Outfield Massacre","18","54.82"
"Dalmations Sweden","18","54.82"
"Anaconda Confessions","18","51.82"
"Reunion Witches","18","50.82"
"Novocaine Flight","18","49.82"
"Pirates Roxanne","18","45.81"
"Hours Rage","18","44.82"
"Tramp Others","18","40.82"
"Disciple Mother","18","39.82"
"Encounters Curtain","18","38.82"
"Coast Rainbow","18","37.82"
"Sundance Invasion","18","36.82"
"Insects Stone","18","36.81"
"Independence Hotel","18","34.82"
"Outbreak Divine","18","31.82"
"Room Roman","18","27.82"
"Patient Sister","18","21.82"
"Jedi Beneath","18","20.82"
"Bride Intrigue","18","20.82"
"Mine Titans","17","138.83"
"Flintstones Happiness","17","134.83"
"Kissing Dolls","17","120.83"
"Dawn Pond","17","120.83"
"Road Roxanne","17","115.83"
"Hunchback Impossible","17","115.83"
"Conversation Downhill","17","114.83"
"League Hellfighters","17","105.83"
"Sleepless Monsoon","17","103.83"
"Million Ace","17","103.83"
"Birds Perdition","17","102.83"
"Expecations Natural","17","101.83"
"Poseidon Forever","17","100.83"
"Gorgeous Bingo","17","94.83"
"Jet Neighbors","17","92.83"
"Igby Maker","17","89.83"
"Candidate Perdition","17","88.82"
"Darn Forrester","17","87.83"
"Forrest Sons","17","83.83"
"Campus Remember","17","81.83"
"Vanishing Rocky","17","80.83"
"Orient Closer","17","80.83"
"Carol Texas","17","79.83"
"Intentions Empire","17","78.83"
"National Story","17","76.83"
"Trojan Tomorrow","17","75.82"
"Hope Tootsie","17","72.83"
"Weekend Personal","17","71.83"
"Remember Diary","17","70.83"
"Instinct Airport","17","69.83"
"Pollock Deliverance","17","66.82"
"Neighbors Charade","17","62.83"
"Insider Arizona","17","61.83"
"Alone Trip","17","61.83"
"Earring Instinct","17","60.83"
"Clones Pinocchio","17","59.83"
"Barefoot Manchurian","17","59.83"
"Doom Dancing","17","58.83"
"Fury Murder","17","58.83"
"Cider Desire","17","56.83"
"Greek Everyone","17","55.83"
"Racer Egg","17","54.83"
"Rock Instinct","17","48.83"
"Kick Savannah","17","48.83"
"Gables Metropolis","17","47.83"
"Go Purple","17","43.83"
"Groove Fiction","17","40.83"
"Club Graffiti","17","38.82"
"Taxi Kick","17","34.83"
"Lion Uncut","17","33.83"
"Voice Peach","17","31.83"
"Cheaper Clyde","17","30.83"
"Mars Roman","17","30.83"
"Roxanne Rebel","17","29.83"
"Music Boondock","17","20.83"
"Smoking Barbarella","17","17.84"
"Backlash Undefeated","16","140.84"
"Satisfaction Confidential","16","122.84"
"Waterfront Deliverance","16","116.84"
"Lady Stage","16","113.84"
"Mission Zoolander","16","110.84"
"Command Darling","16","107.84"
"Scarface Bang","16","106.84"
"Galaxy Sweethearts","16","105.84"
"Breakfast Goldfinger","16","104.84"
"Attacks Hate","16","101.84"
"Paycheck Wait","16","101.84"
"Sweden Shining","16","101.83"
"Confused Candles","16","99.84"
"Hall Cassidy","16","98.84"
"Thief Pelican","16","97.84"
"Jericho Mulan","16","95.84"
"French Holiday","16","94.84"
"Core Suit","16","92.84"
"Coldblooded Darling","16","89.84"
"Virgin Daisy","16","86.84"
"Slacker Liaisons","16","86.84"
"Casablanca Super","16","82.84"
"Jekyll Frogmen","16","78.84"
"Jacket Frisco","16","71.84"
"Eyes Driving","16","68.84"
"Egypt Tenenbaums","16","66.84"
"Reap Unfaithful","16","62.84"
"Driver Annie","16","62.84"
"Gaslight Crusade","16","62.84"
"Honey Ties","16","59.84"
"Creatures Shakespeare","16","56.84"
"Boulevard Mob","16","56.84"
"Perfect Groove","16","53.84"
"Enough Raging","16","51.84"
"Moulin Wake","16","51.84"
"Rouge Squad","16","51.84"
"Varsity Trip","16","48.84"
"Newton Labyrinth","16","46.84"
"Midnight Westward","16","38.84"
"Joon Northwest","16","37.84"
"Louisiana Harry","16","28.84"
"Cleopatra Devil","16","27.85"
"Homeward Cider","16","23.84"
"Holocaust Highball","16","23.84"
"Unforgiven Zoolander","16","22.84"
"Bull Shawshank","16","21.84"
"Trap Guys","15","119.85"
"Whale Bikini","15","113.85"
"Mermaid Insects","15","94.85"
"Pickup Driving","15","93.85"
"Sugar Wonka","15","93.85"
"Hanging Deep","15","92.85"
"Destiny Saturday","15","91.85"
"Wizard Coldblooded","15","90.85"
"Pure Runner","15","89.85"
"Hysterical Grail","15","87.85"
"Airport Pollock","15","86.85"
"Steers Armageddon","15","85.85"
"Chicago North","15","84.85"
"Dying Maker","15","83.85"
"Holiday Games","15","82.85"
"Musketeers Wait","15","82.85"
"Airplane Sierra","15","82.85"
"Human Graffiti","15","80.85"
"Lawless Vision","15","76.86"
"Baked Cleopatra","15","76.85"
"Holes Brannigan","15","75.86"
"Lust Lock","15","74.82"
"Ferris Mother","15","70.85"
"Comforts Rush","15","69.85"
"Idaho Love","15","68.85"
"Worst Banger","15","66.85"
"Zoolander Fiction","15","66.85"
"Divine Resurrection","15","64.85"
"Potter Connecticut","15","62.85"
"Noon Papi","15","60.85"
"Sierra Divide","15","57.85"
"Mummy Creatures","15","55.85"
"Jade Bunch","15","53.85"
"Patriot Roman","15","52.85"
"Willow Tracy","15","52.85"
"Heaven Freedom","15","49.85"
"Indian Love","15","46.85"
"United Pilot","15","43.85"
"Majestic Floats","15","36.85"
"Watch Tracy","15","33.85"
"Bonnie Holocaust","15","31.85"
"Factory Dragon","15","30.85"
"Rear Trading","15","27.85"
"Love Suicides","15","22.85"
"Polish Brooklyn","15","18.85"
"Pride Alamo","15","17.85"
"Silence Kane","15","15.85"
"Teen Apollo","14","109.86"
"Strangers Graffiti","14","104.86"
"Gold River","14","94.86"
"West Lion","14","92.86"
"Daisy Menagerie","14","85.86"
"Sagebrush Clueless","14","83.86"
"Loser Hustler","14","83.86"
"Panther Reds","14","83.86"
"Hanover Galaxy","14","81.86"
"Dragonfly Strangers","14","80.86"
"Bikini Borrowers","14","79.86"
"Devil Desire","14","78.86"
"Groundhog Uncut","14","78.86"
"Grinch Massage","14","76.86"
"Image Princess","14","76.86"
"Wanda Chamber","14","76.86"
"Searchers Wait","14","75.86"
"Sons Interview","14","75.85"
"Impossible Prejudice","14","74.86"
"Words Hunter","14","73.86"
"Outlaw Hanky","14","73.86"
"Nemo Campus","14","59.86"
"Artist Coldblooded","14","59.86"
"Manchurian Curtain","14","59.86"
"Analyze Hoosiers","14","55.86"
"Beach Heartbreakers","14","55.86"
"Circus Youth","14","53.86"
"Pilot Hoosiers","14","51.86"
"Mask Peach","14","49.86"
"Monster Spartacus","14","48.86"
"Worker Tarzan","14","47.86"
"Troopers Metal","14","46.86"
"Caddyshack Jedi","14","46.86"
"Ship Wonderland","14","44.86"
"Cyclone Family","14","43.87"
"Shanghai Tycoon","14","43.86"
"Freaky Pocus","14","43.86"
"Lock Rear","14","42.86"
"Pajama Jawbreaker","14","39.86"
"Cabin Flash","14","39.86"
"Roots Remember","14","37.86"
"Army Flintstones","14","36.86"
"Necklace Outbreak","14","36.86"
"Splash Gump","14","33.86"
"Stampede Disturbing","14","32.86"
"Summer Scarface","14","32.86"
"Motions Details","14","25.87"
"Slipper Fidelity","14","24.86"
"Vietnam Smoochy","14","21.86"
"Tomatoes Hellfighters","14","19.86"
"Craft Outfield","14","18.86"
"Siege Madre","14","16.86"
"Spirit Flintstones","14","14.86"
"Virtual Spoilers","13","105.87"
"Dude Blindness","13","90.87"
"Memento Zoolander","13","88.87"
"Rocky War","13","88.87"
"Conquerer Nuts","13","84.87"
"Peach Innocent","13","80.86"
"Edge Kissing","13","79.87"
"Betrayed Rear","13","79.87"
"Submarine Bed","13","78.87"
"Rules Human","13","78.87"
"Creepers Kane","13","77.87"
"Quills Bull","13","77.87"
"Model Fish","13","76.87"
"Tuxedo Mile","13","76.87"
"Deep Crusade","13","75.87"
"Pluto Oleander","13","73.87"
"Blindness Gun","13","71.87"
"Jeepers Wedding","13","70.87"
"Saturn Name","13","70.87"
"Confessions Maguire","13","70.87"
"Boiled Dares","13","66.87"
"Charade Duffel","13","66.87"
"Chamber Italian","13","65.88"
"Lonely Elephant","13","65.87"
"Madison Trap","13","64.87"
"Mother Oleander","13","63.87"
"Lovely Jingle","13","62.87"
"Jaws Harry","13","59.87"
"Nash Chocolat","13","58.87"
"Shane Darkness","13","52.87"
"Dirty Ace","13","47.87"
"Madre Gables","13","47.87"
"Alley Evolution","13","46.87"
"Shrunk Divine","13","46.87"
"Town Ark","13","46.87"
"Uprising Uptown","13","45.87"
"Personal Ladybugs","13","43.87"
"Graduate Lord","13","42.87"
"Stock Glass","13","42.87"
"Entrapment Satisfaction","13","42.87"
"Uncut Suicides","13","42.87"
"Labyrinth League","13","41.87"
"Spinal Rocky","13","39.87"
"Illusion Amelie","13","34.87"
"Donnie Alley","13","34.87"
"Rings Heartbreakers","13","31.87"
"Dances None","13","28.87"
"Translation Summer","13","25.87"
"Notorious Reunion","13","24.87"
"Drums Dynamite","13","24.87"
"Wrath Mile","13","22.87"
"Citizen Shrek","13","21.87"
"Odds Boogie","13","19.87"
"Hook Chariots","13","17.87"
"Streak Ridgemont","13","17.87"
"Anonymous Human","13","17.87"
"Gandhi Kwai","13","16.87"
"Lawrence Love","13","15.87"
"Greedy Roots","13","14.87"
"Hollywood Anonymous","13","13.87"
"Tycoon Gathering","12","103.88"
"Bilko Anonymous","12","94.88"
"Day Unfaithful","12","93.88"
"Silverado Goldfinger","12","91.88"
"Flash Wars","12","87.88"
"Bright Encounters","12","87.88"
"Panky Submarine","12","86.88"
"Super Wyoming","12","78.88"
"Raging Airplane","12","77.88"
"Alabama Devil","12","71.88"
"Flight Lies","12","68.88"
"Werewolf Lola","12","68.88"
"Past Suicides","12","66.88"
"Home Pity","12","66.88"
"Dangerous Uptown","12","66.88"
"Usual Untouchables","12","65.88"
"War Notting","12","65.88"
"Games Bowfinger","12","62.88"
"Born Spinal","12","59.88"
"Identity Lover","12","56.88"
"Turn Star","12","56.88"
"State Wasteland","12","55.89"
"Purple Movie","12","52.88"
"Exorcist Sting","12","49.88"
"Valley Packer","12","49.88"
"Darkness War","12","45.88"
"Microcosmos Paradise","12","43.88"
"Express Lonely","12","42.88"
"Modern Dorado","12","42.88"
"Scissorhands Slums","12","42.88"
"Date Speed","12","41.88"
"Party Knock","12","41.88"
"Wasteland Divine","12","40.88"
"Paris Weekend","12","40.88"
"Forever Candidate","12","40.88"
"Hunting Musketeers","12","40.88"
"Hamlet Wisdom","12","39.88"
"Spiking Element","12","38.88"
"Shrek License","12","37.88"
"Glass Dying","12","35.88"
"Robbery Bright","12","32.88"
"Natural Stock","12","31.88"
"Side Ark","12","29.88"
"Tootsie Pilot","12","28.88"
"Minority Kiss","12","27.89"
"Evolution Alter","12","26.88"
"Jungle Closer","12","23.88"
"Arabia Dogma","12","21.88"
"Hunger Roof","12","19.88"
"Tenenbaums Command","12","19.88"
"Sorority Queen","12","19.88"
"Smoochy Control","12","14.88"
"Bedazzled Married","12","14.88"
"Sassy Packer","12","14.88"
"Kane Exorcist","12","13.88"
"Behavior Runaway","11","87.89"
"Pittsburgh Hunchback","11","83.89"
"Moonwalker Fool","11","75.89"
"Connecticut Tramp","11","75.89"
"Birch Antitrust","11","74.89"
"California Birds","11","73.89"
"Thin Sagebrush","11","73.89"
"Cincinatti Whisperer","11","71.89"
"Vampire Whale","11","69.89"
"Liberty Magnificent","11","67.89"
"Twisted Pirates","11","66.89"
"Gunfighter Mussolini","11","64.89"
"Daddy Pittsburgh","11","63.89"
"Anthem Luke","11","63.89"
"Wyoming Storm","11","61.89"
"Jingle Sagebrush","11","59.89"
"Sweet Brotherhood","11","58.89"
"Bowfinger Gables","11","56.89"
"Massage Image","11","56.89"
"Meet Chocolate","11","56.89"
"Opposite Necklace","11","56.89"
"Fugitive Maguire","11","56.89"
"Window Side","11","50.89"
"Rider Caddyshack","11","48.89"
"African Egg","11","47.89"
"Speakeasy Date","11","41.89"
"Frida Slipper","11","40.90"
"Magnolia Forrester","11","34.89"
"Adaptation Holes","11","34.89"
"Mile Mulan","11","33.89"
"Saddle Antitrust","11","32.89"
"Mulan Moon","11","30.89"
"Theory Mermaid","11","30.88"
"Dragon Squad","11","27.89"
"Reef Salute","11","23.89"
"Everyone Craft","11","22.89"
"Monterey Labyrinth","11","19.89"
"Loverboy Attacks","11","16.89"
"Beethoven Exorcist","11","16.89"
"Mosquito Armageddon","11","16.89"
"Crow Grease","11","14.89"
"Paths Control","10","81.90"
"Autumn Crow","10","74.90"
"Darko Dorado","10","72.90"
"Beast Hunchback","10","69.90"
"Amelie Hellfighters","10","67.90"
"Stranger Strangers","10","65.90"
"Fiddler Lost","10","64.90"
"Elephant Trojan","10","64.90"
"Champion Flatliners","10","62.90"
"Opus Ice","10","60.90"
"Smile Earring","10","58.90"
"October Submarine","10","57.90"
"Temple Attraction","10","57.90"
"Lambs Cincinatti","10","57.90"
"Element Freddy","10","56.90"
"Right Cranes","10","52.90"
"Sensibility Rear","10","52.90"
"Iron Moon","10","50.90"
"Lost Bird","10","50.90"
"Chisum Behavior","10","50.90"
"Stage World","10","46.90"
"Potluck Mixed","10","43.90"
"Wars Pluto","10","42.90"
"Breaking Home","10","41.90"
"Lord Arizona","10","39.90"
"Prix Undefeated","10","37.90"
"Drumline Cyclone","10","36.90"
"Blanket Beverly","10","33.90"
"Maker Gables","10","32.90"
"Stone Fire","10","32.90"
"Lucky Flying","10","32.90"
"Song Hedwig","10","31.90"
"Mighty Luck","10","31.90"
"Hedwig Alter","10","31.90"
"Santa Paris","10","29.90"
"Uptown Young","10","29.90"
"Jeopardy Encino","10","28.90"
"Mob Duffel","10","27.90"
"Finding Anaconda","10","26.90"
"Savannah Town","10","22.90"
"Gathering Calendar","10","19.90"
"Spirited Casualties","10","18.90"
"Language Cowboy","10","18.90"
"Ending Crowds","10","17.90"
"Beneath Rush","10","16.90"
"Frogmen Breaking","10","16.90"
"Valentine Vanishing","10","12.90"
"Clockwork Paradise","10","11.90"
"Ties Hunger","9","69.91"
"Daughter Madigan","9","69.91"
"Spartacus Cheaper","9","60.91"
"Brannigan Sunrise","9","56.91"
"Ali Forever","9","54.91"
"Monsoon Cause","9","54.91"
"Lover Truman","9","54.91"
"Frisco Forrest","9","53.91"
"Nuts Ties","9","53.91"
"Bird Independence","9","53.91"
"Doubtfire Labyrinth","9","52.91"
"Vanilla Day","9","52.91"
"North Tequila","9","51.91"
"Mod Secretary","9","48.91"
"Kramer Chocolate","9","47.91"
"Trainspotting Strangers","9","46.91"
"Lolita World","9","45.91"
"Bugsy Song","9","45.91"
"Run Pacific","9","42.91"
"Rollercoaster Bringing","9","39.91"
"Snatchers Montezuma","9","37.91"
"Cranes Reservoir","9","33.91"
"Maguire Apache","9","33.91"
"Wagon Jaws","9","33.91"
"Random Go","9","31.91"
"Feathers Metal","9","31.91"
"Wisdom Worker","9","29.91"
"Reservoir Adaptation","9","29.91"
"Won Dares","9","28.91"
"Crazy Home","9","26.91"
"Oleander Clue","9","24.91"
"Birdcage Casper","9","23.91"
"Spoilers Hellfighters","9","18.91"
"Gilbert Pelican","9","17.91"
"Superfly Trip","9","16.91"
"Notting Speakeasy","9","12.91"
"Victory Academy","9","12.91"
"Montezuma Command","9","11.91"
"Towers Hurricane","9","10.91"
"Jawbreaker Brooklyn","9","10.91"
"Caribbean Liberty","8","66.92"
"Casualties Encino","8","61.92"
"King Evolution","8","59.92"
"Magnificent Chitty","8","54.92"
"Guys Falcon","8","52.92"
"Gosford Donnie","8","48.92"
"Madigan Dorado","8","48.92"
"Reds Pocus","8","47.92"
"Grosse Wonderful","8","46.92"
"Wonderful Drop","8","46.92"
"Darling Breaking","8","44.92"
"Speed Suit","8","44.92"
"Anything Savannah","8","43.92"
"Drop Waterfront","8","43.92"
"Hoosiers Birdcage","8","41.92"
"Miracle Virtual","8","41.92"
"Hotel Happiness","8","41.92"
"Platoon Instinct","8","40.92"
"Grail Frankenstein","8","40.92"
"Tarzan Videotape","8","40.92"
"Matrix Snowman","8","40.92"
"Hollow Jeopardy","8","39.92"
"Legally Secretary","8","39.92"
"Vertigo Northwest","8","37.92"
"Life Twisted","8","37.92"
"Godfather Diary","8","37.92"
"Saints Bride","8","31.92"
"Destination Jerk","8","31.92"
"Jumanji Blade","8","30.92"
"Halloween Nuts","8","29.92"
"Gone Trouble","8","29.92"
"Chitty Lock","8","28.92"
"Dwarfs Alter","8","28.92"
"Dolls Rage","8","27.92"
"Pet Haunting","8","26.92"
"Dares Pluto","8","26.92"
"Unfaithful Kill","8","26.92"
"Desire Alien","8","25.92"
"World Leathernecks","8","24.92"
"Diary Panic","8","24.92"
"Chaplin License","8","23.92"
"Clyde Theory","8","23.92"
"Shining Roses","8","22.92"
"Impact Aladdin","8","18.92"
"Holy Tadpole","8","17.92"
